score,number,rank
708,11,11
707,5,16
706,9,25
705,5,30
704,2,32
703,10,42
702,5,47
701,5,52
700,13,65
699,13,78
698,20,98
697,16,114
696,20,134
695,15,149
694,17,166
693,17,183
692,29,212
691,24,236
690,28,264
689,25,289
688,27,316
687,37,353
686,36,389
685,53,442
684,35,477
683,47,524
682,45,569
681,40,609
680,45,654
679,46,700
678,48,748
677,83,831
676,66,897
675,57,954
674,60,1014
673,76,1090
672,68,1158
671,79,1237
670,79,1316
669,87,1403
668,70,1473
667,112,1585
666,90,1675
665,89,1764
664,114,1878
663,108,1986
662,82,2068
661,85,2153
660,101,2254
659,100,2354
658,114,2468
657,138,2606
656,127,2733
655,127,2860
654,141,3001
653,131,3132
652,153,3285
651,143,3428
650,133,3561
649,150,3711
648,169,3880
647,178,4058
646,151,4209
645,177,4386
644,149,4535
643,186,4721
642,176,4897
641,184,5081
640,192,5273
639,181,5454
638,175,5629
637,176,5805
636,201,6006
635,178,6184
634,178,6362
633,210,6572
632,198,6770
631,222,6992
630,179,7171
629,201,7372
628,192,7564
627,199,7763
626,239,8002
625,241,8243
624,223,8466
623,231,8697
622,231,8928
621,208,9136
620,247,9383
619,232,9615
618,240,9855
617,245,10100
616,269,10369
615,270,10639
614,252,10891
613,231,11122
612,289,11411
611,266,11677
610,242,11919
609,271,12190
608,271,12461
607,270,12731
606,259,12990
605,250,13240
604,284,13524
603,290,13814
602,268,14082
601,270,14352
600,260,14612
599,267,14879
598,279,15158
597,296,15454
596,315,15769
595,299,16068
594,261,16329
593,277,16606
592,322,16928
591,330,17258
590,296,17554
589,300,17854
588,343,18197
587,307,18504
586,326,18830
585,296,19126
584,340,19466
583,316,19782
582,326,20108
581,329,20437
580,361,20798
579,321,21119
578,331,21450
577,346,21796
576,304,22100
575,353,22453
574,364,22817
573,382,23199
572,318,23517
571,300,23817
570,367,24184
569,337,24521
568,309,24830
567,357,25187
566,341,25528
565,365,25893
564,331,26224
563,362,26586
562,349,26935
561,389,27324
560,372,27696
559,356,28052
558,373,28425
557,368,28793
556,377,29170
555,372,29542
554,391,29933
553,404,30337
552,399,30736
551,379,31115
550,403,31518
549,402,31920
548,364,32284
547,375,32659
546,396,33055
545,406,33461
544,412,33873
543,414,34287
542,426,34713
541,418,35131
540,407,35538
539,411,35949
538,423,36372
537,394,36766
536,468,37234
535,435,37669
534,426,38095
533,481,38576
532,418,38994
531,389,39383
530,422,39805
529,383,40188
528,413,40601
527,389,40990
526,418,41408
525,395,41803
524,399,42202
523,451,42653
522,413,43066
521,403,43469
520,424,43893
519,460,44353
518,465,44818
517,458,45276
516,438,45714
515,460,46174
514,475,46649
513,443,47092
512,441,47533
511,435,47968
