score,number,rank
510,447,48415
509,461,48876
508,457,49333
507,436,49769
506,484,50253
505,447,50700
504,494,51194
503,454,51648
502,465,52113
501,446,52559
500,485,53044
499,500,53544
498,461,54005
497,510,54515
496,456,54971
495,472,55443
494,474,55917
493,485,56402
492,466,56868
491,464,57332
490,474,57806
489,481,58287
488,460,58747
487,486,59233
486,463,59696
485,464,60160
484,526,60686
483,476,61162
482,462,61624
481,472,62096
480,475,62571
479,492,63063
478,456,63519
477,504,64023
476,521,64544
475,471,65015
474,483,65498
473,527,66025
472,501,66526
471,496,67022
470,489,67511
469,475,67986
468,482,68468
467,469,68937
466,469,69406
465,470,69876
464,473,70349
463,502,70851
462,499,71350
461,525,71875
460,472,72347
459,479,72826
458,503,73329
457,518,73847
456,531,74378
455,518,74896
454,495,75391
453,520,75911
452,490,76401
451,491,76892
450,471,77363
449,503,77866
448,524,78390
447,481,78871
446,519,79390
445,506,79896
444,501,80397
443,478,80875
442,476,81351
441,507,81858
440,479,82337
439,475,82812
438,543,83355
437,480,83835
436,522,84357
435,483,84840
434,510,85350
433,506,85856
432,480,86336
431,514,86850
430,507,87357
429,520,87877
428,499,88376
427,518,88894
426,503,89397
425,481,89878
424,515,90393
423,490,90883
422,504,91387
421,485,91872
420,486,92358
419,463,92821
418,514,93335
417,484,93819
416,464,94283
415,479,94762
414,521,95283
413,457,95740
412,533,96273
411,466,96739
410,479,97218
409,502,97720
408,485,98205
407,431,98636
406,484,99120
405,431,99551
404,463,100014
403,480,100494
402,455,100949
401,509,101458
400,479,101937
399,503,102440
398,447,102887
397,484,103371
396,447,103818
395,470,104288
394,451,104739
393,466,105205
392,454,105659
391,466,106125
390,460,106585
389,453,107038
388,439,107477
387,426,107903
386,460,108363
385,414,108777
384,447,109224
383,447,109671
382,448,110119
381,411,110530
380,498,111028
379,427,111455
378,447,111902
377,449,112351
376,435,112786
375,429,113215
374,444,113659
373,443,114102
372,463,114565
371,427,114992
370,405,115397
369,399,115796
368,402,116198
367,431,116629
366,419,117048
365,406,117454
364,404,117858
363,401,118259
362,394,118653
361,400,119053
360,414,119467
359,409,119876
358,403,120279
357,365,120644
356,388,121032
355,396,121428
354,378,121806
353,383,122189
352,401,122590
351,407,122997
350,362,123359
349,360,123719
348,381,124100
347,391,124491
346,377,124868
345,379,125247
344,370,125617
343,339,125956
342,376,126332
341,341,126673
340,355,127028
339,336,127364
338,363,127727
337,325,128052
336,351,128403
335,347,128750
334,288,129038
333,319,129357
332,320,129677
331,318,129995
330,349,130344
329,343,130687
328,358,131045
327,323,131368
326,300,131668
325,326,131994
324,265,132259
323,292,132551
322,333,132884
321,260,133144
320,295,133439
319,302,133741
318,276,134017
317,289,134306
316,274,134580
315,289,134869
314,266,135135
313,251,135386
312,278,135664
311,294,135958
310,263,136221
309,256,136477
308,250,136727
307,239,136966
306,257,137223
305,240,137463
304,219,137682
303,245,137927
302,238,138165
301,271,138436
300,239,138675
299,232,138907
298,236,139143
297,229,139372
296,216,139588
295,204,139792
294,179,139971
293,213,140184
292,214,140398
291,204,140602
290,198,140800
289,204,141004
288,186,141190
287,184,141374
286,201,141575
285,196,141771
284,197,141968
283,213,142181
282,196,142377
281,167,142544
280,155,142699
279,140,142839
278,167,143006
277,157,143163
276,153,143316
275,136,143452
274,169,143621
273,128,143749
272,167,143916
271,155,144071
270,148,144219
269,157,144376
268,134,144510
267,139,144649
266,132,144781
265,114,144895
264,142,145037
263,119,145156
262,113,145269
261,133,145402
260,122,145524
259,115,145639
258,114,145753
257,115,145868
256,108,145976
255,98,146074
254,113,146187
253,112,146299
252,86,146385
251,96,146481
250,102,146583
249,88,146671
248,100,146771
247,91,146862
246,89,146951
245,79,147030
244,90,147120
243,72,147192
242,78,147270
241,83,147353
240,54,147407
239,74,147481
238,81,147562
237,80,147642
236,68,147710
235,69,147779
234,74,147853
233,62,147915
232,70,147985
231,58,148043
230,60,148103
229,56,148159
228,62,148221
227,47,148268
226,40,148308
225,53,148361
224,41,148402
223,52,148454
222,50,148504
221,42,148546
220,53,148599
219,45,148644
218,35,148679
217,48,148727
216,35,148762
215,35,148797
214,33,148830
213,30,148860
212,36,148896
211,35,148931
210,33,148964
209,30,148994
208,23,149017
207,18,149035
206,33,149068
205,25,149093
204,28,149121
203,28,149149
202,27,149176
201,26,149202
200,18,149220
199,18,149238
198,21,149259
197,17,149276
196,15,149291
195,15,149306
194,17,149323
193,14,149337
192,10,149347
191,19,149366
190,10,149376
189,10,149386
188,17,149403
187,9,149412
186,16,149428
185,15,149443
184,9,149452
183,9,149461
182,10,149471
181,9,149480
180,17,149497
179,6,149503
178,7,149510
177,12,149522
176,8,149530
175,8,149538
174,6,149544
173,4,149548
172,4,149552
171,3,149555
170,5,149560
169,9,149569
168,5,149574
167,9,149583
166,10,149593
165,6,149599
164,4,149603
163,3,149606
162,6,149612
161,1,149613
160,2,149615
159,2,149617
158,5,149622
157,3,149625
156,4,149629
155,5,149634
154,2,149636
153,3,149639
152,3,149642
151,1,149643
150,2,149645
